"Kod";"Nazwa";"apteki;2023;[ob.]";
1813000;"Powiat przemyski";5;
1814000;"Powiat przeworski";22;
1815000;"Powiat ropczycko-sędziszowski";19;
1816000;"Powiat rzeszowski";32;
1817000;"Powiat sanocki";27;
1818000;"Powiat stalowowolski";34;
1819000;"Powiat strzyżowski";14;
1820000;"Powiat tarnobrzeski";13;
1821000;"Powiat leski";9;
2001000;"Powiat augustowski";16;
2002000;"Powiat białostocki";37;
2003000;"Powiat bielski";20;
2004000;"Powiat grajewski";14;
2005000;"Powiat hajnowski";11;
2006000;"Powiat kolneński";10;
2007000;"Powiat łomżyński";7;
2008000;"Powiat moniecki";9;
2009000;"Powiat sejneński";5;
2010000;"Powiat siemiatycki";11;
2011000;"Powiat sokólski";18;
2012000;"Powiat suwalski";4;
2013000;"Powiat wysokomazowiecki";17;
2014000;"Powiat zambrowski";12;
2201000;"Powiat bytowski";15;
2202000;"Powiat chojnicki";25;
2203000;"Powiat człuchowski";13;
2204000;"Powiat gdański";28;
2205000;"Powiat kartuski";36;
2206000;"Powiat kościerski";21;
2207000;"Powiat kwidzyński";16;
2208000;"Powiat lęborski";14;
2209000;"Powiat malborski";17;
2210000;"Powiat nowodworski";10;
2211000;"Powiat pucki";26;
2212000;"Powiat słupski";16;
2213000;"Powiat starogardzki";31;
2214000;"Powiat tczewski";28;
2215000;"Powiat wejherowski";59;
2216000;"Powiat sztumski";7;
2401000;"Powiat będziński";45;
2402000;"Powiat bielski";43;
2403000;"Powiat cieszyński";54;
2404000;"Powiat częstochowski";33;
2405000;"Powiat gliwicki";26;
2406000;"Powiat kłobucki";29;
2407000;"Powiat lubliniecki";24;
2408000;"Powiat mikołowski";28;
2409000;"Powiat myszkowski";22;
2410000;"Powiat pszczyński";28;
2411000;"Powiat raciborski";30;
2412000;"Powiat rybnicki";14;
2413000;"Powiat tarnogórski";39;
2414000;"Powiat bieruńsko-lędziński";18;
2415000;"Powiat wodzisławski";37;
2416000;"Powiat zawierciański";34;
2417000;"Powiat żywiecki";41;
2601000;"Powiat buski";27;
2602000;"Powiat jędrzejowski";20;
2603000;"Powiat kazimierski";14;
2604000;"Powiat kielecki";45;
2605000;"Powiat konecki";22;
2606000;"Powiat opatowski";12;
2607000;"Powiat ostrowiecki";26;
2608000;"Powiat pińczowski";8;
2609000;"Powiat sandomierski";28;
2610000;"Powiat skarżyski";22;
2611000;"Powiat starachowicki";25;
2612000;"Powiat staszowski";25;
2613000;"Powiat włoszczowski";12;
2801000;"Powiat bartoszycki";14;
2802000;"Powiat braniewski";12;
2803000;"Powiat działdowski";19;
2804000;"Powiat elbląski";8;
2805000;"Powiat ełcki";21;
2806000;"Powiat giżycki";18;
2807000;"Powiat iławski";27;
2808000;"Powiat kętrzyński";20;
2809000;"Powiat lidzbarski";12;
2810000;"Powiat mrągowski";11;
2811000;"Powiat nidzicki";8;
2812000;"Powiat nowomiejski";8;
2813000;"Powiat olecki";10;
2814000;"Powiat olsztyński";32;
2815000;"Powiat ostródzki";29;
2816000;"Powiat piski";12;
2817000;"Powiat szczycieński";17;
2818000;"Powiat gołdapski";6;
2819000;"Powiat węgorzewski";7;
3001000;"Powiat chodzieski";16;
3002000;"Powiat czarnkowsko-trzcianecki";26;
3003000;"Powiat gnieźnieński";50;
3004000;"Powiat gostyński";19;
3005000;"Powiat grodziski";19;
3006000;"Powiat jarociński";24;
3007000;"Powiat kaliski";14;
3008000;"Powiat kępiński";18;
3009000;"Powiat kolski";28;
3010000;"Powiat koniński";29;
3011000;"Powiat kościański";20;
3012000;"Powiat krotoszyński";24;
3013000;"Powiat leszczyński";14;
3014000;"Powiat międzychodzki";16;
3015000;"Powiat nowotomyski";26;
3016000;"Powiat obornicki";19;
3017000;"Powiat ostrowski";46;
3018000;"Powiat ostrzeszowski";21;
3019000;"Powiat pilski";49;
3020000;"Powiat pleszewski";20;
3021000;"Powiat poznański";133;
3022000;"Powiat rawicki";20;
3023000;"Powiat słupecki";20;
3024000;"Powiat szamotulski";27;
3025000;"Powiat średzki";17;
3026000;"Powiat śremski";17;
3027000;"Powiat turecki";28;
3028000;"Powiat wągrowiecki";15;
3029000;"Powiat wolsztyński";19;
3030000;"Powiat wrzesiński";22;
3031000;"Powiat złotowski";16;
3201000;"Powiat białogardzki";10;
3202000;"Powiat choszczeński";13;
3203000;"Powiat drawski";17;
3204000;"Powiat goleniowski";25;
3205000;"Powiat gryficki";17;
3206000;"Powiat gryfiński";24;
3207000;"Powiat kamieński";17;
3208000;"Powiat kołobrzeski";31;
3209000;"Powiat koszaliński";12;
3210000;"Powiat myśliborski";18;
3211000;"Powiat policki";16;
3212000;"Powiat pyrzycki";10;
3213000;"Powiat sławieński";14;
3214000;"Powiat stargardzki";34;
3215000;"Powiat szczecinecki";23;
3216000;"Powiat świdwiński";11;
3217000;"Powiat wałecki";16;
3218000;"Powiat łobeski";10;
