"Kod";"Nazwa";"ogółem;mieszkania;2023;[-]";
1803000;"Powiat dębicki";41737;
1804000;"Powiat jarosławski";37460;
1805000;"Powiat jasielski";34452;
1806000;"Powiat kolbuszowski";18373;
1807000;"Powiat krośnieński";33306;
1808000;"Powiat leżajski";20833;
1809000;"Powiat lubaczowski";17542;
1810000;"Powiat łańcucki";25873;
1811000;"Powiat mielecki";45297;
1812000;"Powiat niżański";20873;
1813000;"Powiat przemyski";21702;
1814000;"Powiat przeworski";24648;
1815000;"Powiat ropczycko-sędziszowski";22259;
1816000;"Powiat rzeszowski";54493;
1817000;"Powiat sanocki";30623;
1818000;"Powiat stalowowolski";38323;
1819000;"Powiat strzyżowski";18536;
1820000;"Powiat tarnobrzeski";16952;
1821000;"Powiat leski";8819;
2001000;"Powiat augustowski";20775;
2002000;"Powiat białostocki";61688;
2003000;"Powiat bielski";24071;
2004000;"Powiat grajewski";15910;
2005000;"Powiat hajnowski";21948;
2006000;"Powiat kolneński";11069;
2007000;"Powiat łomżyński";15670;
2008000;"Powiat moniecki";13490;
2009000;"Powiat sejneński";7170;
2010000;"Powiat siemiatycki";17698;
2011000;"Powiat sokólski";24713;
2012000;"Powiat suwalski";11874;
2013000;"Powiat wysokomazowiecki";18435;
2014000;"Powiat zambrowski";15144;
2201000;"Powiat bytowski";25357;
2202000;"Powiat chojnicki";32987;
2203000;"Powiat człuchowski";19171;
2204000;"Powiat gdański";49057;
2205000;"Powiat kartuski";46519;
2206000;"Powiat kościerski";23553;
2207000;"Powiat kwidzyński";27825;
2208000;"Powiat lęborski";24806;
2209000;"Powiat malborski";23508;
2210000;"Powiat nowodworski";14203;
2211000;"Powiat pucki";36815;
2212000;"Powiat słupski";36666;
2213000;"Powiat starogardzki";43598;
2214000;"Powiat tczewski";41430;
2215000;"Powiat wejherowski";82356;
2216000;"Powiat sztumski";13403;
2401000;"Powiat będziński";63785;
2402000;"Powiat bielski";55853;
2403000;"Powiat cieszyński";66346;
2404000;"Powiat częstochowski";48541;
2405000;"Powiat gliwicki";41517;
2406000;"Powiat kłobucki";27789;
2407000;"Powiat lubliniecki";25992;
2408000;"Powiat mikołowski";37526;
2409000;"Powiat myszkowski";26658;
2410000;"Powiat pszczyński";35158;
2411000;"Powiat raciborski";37174;
2412000;"Powiat rybnicki";25197;
2413000;"Powiat tarnogórski";53160;
2414000;"Powiat bieruńsko-lędziński";19507;
2415000;"Powiat wodzisławski";51067;
2416000;"Powiat zawierciański";48754;
2417000;"Powiat żywiecki";55032;
2601000;"Powiat buski";25997;
2602000;"Powiat jędrzejowski";30794;
2603000;"Powiat kazimierski";11047;
2604000;"Powiat kielecki";65378;
2605000;"Powiat konecki";30327;
2606000;"Powiat opatowski";18590;
2607000;"Powiat ostrowiecki";41435;
2608000;"Powiat pińczowski";14800;
