"Kod";"Nazwa";"dotacje celowe;ogółem;2023;[zł]";
1428000;"Powiat sochaczewski";39486899,78;
1429000;"Powiat sokołowski";37220177,51;
1430000;"Powiat szydłowiecki";36462779,46;
1432000;"Powiat warszawski zachodni";47953244,29;
1433000;"Powiat węgrowski";42796630,08;
1434000;"Powiat wołomiński";63489001,12;
1435000;"Powiat wyszkowski";44599967,25;
1436000;"Powiat zwoleński";33794401,84;
1437000;"Powiat żuromiński";31910106,02;
1438000;"Powiat żyrardowski";28317268,20;
1601000;"Powiat brzeski";33160996,86;
1602000;"Powiat głubczycki";22495451,84;
1603000;"Powiat kędzierzyńsko-kozielski";31469885,01;
1604000;"Powiat kluczborski";19121798,85;
1605000;"Powiat krapkowicki";12408750,45;
1606000;"Powiat namysłowski";31790269,49;
1607000;"Powiat nyski";60553474,12;
1608000;"Powiat oleski";22526038,57;
1609000;"Powiat opolski";14634555,93;
1610000;"Powiat prudnicki";24915360,23;
1611000;"Powiat strzelecki";27546250,49;
1801000;"Powiat bieszczadzki";47772360,40;
1802000;"Powiat brzozowski";34050894,12;
1803000;"Powiat dębicki";37763663,06;
1804000;"Powiat jarosławski";54662065,88;
1805000;"Powiat jasielski";36313627,50;
1806000;"Powiat kolbuszowski";27599062,69;
1807000;"Powiat krośnieński";40410735,08;
1808000;"Powiat leżajski";43277425,96;
1809000;"Powiat lubaczowski";35676494,09;
1810000;"Powiat łańcucki";40797817,92;
1811000;"Powiat mielecki";55083751,50;
1812000;"Powiat niżański";47103267,52;
1813000;"Powiat przemyski";24502778,41;
1814000;"Powiat przeworski";26505561,59;
1815000;"Powiat ropczycko-sędziszowski";30010780,27;
1816000;"Powiat rzeszowski";73238113,72;
1817000;"Powiat sanocki";34484624,78;
1818000;"Powiat stalowowolski";40453551,98;
1819000;"Powiat strzyżowski";38514797,27;
1820000;"Powiat tarnobrzeski";35132177,36;
1821000;"Powiat leski";19923293,31;
2001000;"Powiat augustowski";19879842,70;
2002000;"Powiat białostocki";49905165,00;
2003000;"Powiat bielski";20190614,23;
2004000;"Powiat grajewski";38376478,06;
