"Kod";"Nazwa";"ogółem w km2;2023;[km2]";
0616000;"Powiat rycki";614;
0617000;"Powiat świdnicki";468;
0618000;"Powiat tomaszowski";1487;
0619000;"Powiat włodawski";1256;
0620000;"Powiat zamojski";1870;
0801000;"Powiat gorzowski";1214;
0802000;"Powiat krośnieński";1390;
0803000;"Powiat międzyrzecki";1388;
0804000;"Powiat nowosolski";771;
0805000;"Powiat słubicki";999;
0806000;"Powiat strzelecko-drezdenecki";1248;
0807000;"Powiat sulęciński";1178;
0808000;"Powiat świebodziński";937;
0809000;"Powiat zielonogórski";1351;
0810000;"Powiat żagański";1131;
0811000;"Powiat żarski";1393;
0812000;"Powiat wschowski";624;
1001000;"Powiat bełchatowski";968;
1002000;"Powiat kutnowski";887;
1003000;"Powiat łaski";618;
1004000;"Powiat łęczycki";773;
1005000;"Powiat łowicki";988;
1006000;"Powiat łódzki wschodni";500;
1007000;"Powiat opoczyński";1040;
1008000;"Powiat pabianicki";492;
1009000;"Powiat pajęczański";804;
1010000;"Powiat piotrkowski";1429;
1011000;"Powiat poddębicki";881;
1012000;"Powiat radomszczański";1443;
1013000;"Powiat rawski";646;
1014000;"Powiat sieradzki";1491;
1015000;"Powiat skierniewicki";753;
1016000;"Powiat tomaszowski";1025;
1017000;"Powiat wieluński";926;
1018000;"Powiat wieruszowski";577;
1019000;"Powiat zduńskowolski";369;
1020000;"Powiat zgierski";855;
1021000;"Powiat brzeziński";359;
1201000;"Powiat bocheński";649;
1202000;"Powiat brzeski";591;
1203000;"Powiat chrzanowski";370;
1204000;"Powiat dąbrowski";530;
1205000;"Powiat gorlicki";966;
1206000;"Powiat krakowski";1230;
1207000;"Powiat limanowski";951;
1208000;"Powiat miechowski";676;
1209000;"Powiat myślenicki";673;
1210000;"Powiat nowosądecki";1550;
1211000;"Powiat nowotarski";1475;
1212000;"Powiat olkuski";618;
1213000;"Powiat oświęcimski";406;
1214000;"Powiat proszowicki";415;
1215000;"Powiat suski";686;
1216000;"Powiat tarnowski";1412;
1217000;"Powiat tatrzański";472;
1218000;"Powiat wadowicki";646;
1219000;"Powiat wielicki";411;
1401000;"Powiat białobrzeski";639;
1402000;"Powiat ciechanowski";1060;
1403000;"Powiat garwoliński";1285;
1404000;"Powiat gostyniński";615;
1405000;"Powiat grodziski";367;
1406000;"Powiat grójecki";1268;
1407000;"Powiat kozienicki";916;
1408000;"Powiat legionowski";391;
1409000;"Powiat lipski";740;
1410000;"Powiat łosicki";772;
1411000;"Powiat makowski";1065;
1412000;"Powiat miński";1164;
1413000;"Powiat mławski";1182;
1414000;"Powiat nowodworski";695;
1415000;"Powiat ostrołęcki";2093;
1416000;"Powiat ostrowski";1218;
1417000;"Powiat otwocki";616;
1418000;"Powiat piaseczyński";621;
1419000;"Powiat płocki";1797;
1420000;"Powiat płoński";1380;
1421000;"Powiat pruszkowski";246;
1422000;"Powiat przasnyski";1219;
1423000;"Powiat przysuski";802;
1424000;"Powiat pułtuski";827;
1425000;"Powiat radomski";1530;
1426000;"Powiat siedlecki";1603;
1427000;"Powiat sierpecki";852;
1428000;"Powiat sochaczewski";735;
1429000;"Powiat sokołowski";1131;
1430000;"Powiat szydłowiecki";452;
1432000;"Powiat warszawski zachodni";534;
1433000;"Powiat węgrowski";1220;
1434000;"Powiat wołomiński";954;
1435000;"Powiat wyszkowski";877;
1436000;"Powiat zwoleński";573;
1437000;"Powiat żuromiński";806;
1438000;"Powiat żyrardowski";532;
1601000;"Powiat brzeski";876;
1602000;"Powiat głubczycki";673;
1603000;"Powiat kędzierzyńsko-kozielski";625;
1604000;"Powiat kluczborski";852;
1605000;"Powiat krapkowicki";442;
1606000;"Powiat namysłowski";748;
1607000;"Powiat nyski";1224;
1608000;"Powiat oleski";973;
1609000;"Powiat opolski";1534;
1610000;"Powiat prudnicki";571;
1611000;"Powiat strzelecki";744;
1801000;"Powiat bieszczadzki";1139;
1802000;"Powiat brzozowski";539;
1803000;"Powiat dębicki";777;
