"Kod";"Nazwa";"ogółem;ogółem;2023;[ob.]";
2805000;"Powiat ełcki";2;
2806000;"Powiat giżycki";1;
2807000;"Powiat iławski";2;
2808000;"Powiat kętrzyński";1;
2809000;"Powiat lidzbarski";1;
2810000;"Powiat mrągowski";1;
2812000;"Powiat nowomiejski";1;
2813000;"Powiat olecki";2;
2814000;"Powiat olsztyński";1;
2815000;"Powiat ostródzki";2;
2817000;"Powiat szczycieński";1;
2818000;"Powiat gołdapski";1;
3001000;"Powiat chodzieski";2;
3002000;"Powiat czarnkowsko-trzcianecki";1;
3003000;"Powiat gnieźnieński";1;
3004000;"Powiat gostyński";2;
3006000;"Powiat jarociński";1;
3008000;"Powiat kępiński";1;
3009000;"Powiat kolski";1;
3012000;"Powiat krotoszyński";1;
3014000;"Powiat międzychodzki";1;
3015000;"Powiat nowotomyski";2;
3017000;"Powiat ostrowski";1;
3018000;"Powiat ostrzeszowski";1;
3019000;"Powiat pilski";2;
3020000;"Powiat pleszewski";1;
3021000;"Powiat poznański";2;
3022000;"Powiat rawicki";1;
3023000;"Powiat słupecki";3;
3024000;"Powiat szamotulski";2;
3025000;"Powiat średzki";1;
3026000;"Powiat śremski";1;
3027000;"Powiat turecki";1;
3028000;"Powiat wągrowiecki";2;
3029000;"Powiat wolsztyński";2;
3030000;"Powiat wrzesiński";1;
3201000;"Powiat białogardzki";1;
3203000;"Powiat drawski";2;
3204000;"Powiat goleniowski";2;
3205000;"Powiat gryficki";1;
3206000;"Powiat gryfiński";1;
3207000;"Powiat kamieński";2;
3208000;"Powiat kołobrzeski";1;
3209000;"Powiat koszaliński";1;
3210000;"Powiat myśliborski";1;
3212000;"Powiat pyrzycki";1;
3213000;"Powiat sławieński";2;
3214000;"Powiat stargardzki";2;
3215000;"Powiat szczecinecki";1;
3216000;"Powiat świdwiński";1;
3217000;"Powiat wałecki";1;
3218000;"Powiat łobeski";1;
