"Kod";"Nazwa";"ogółem;2023;[ha]";
1438000;"Powiat żyrardowski";3272,78;
1601000;"Powiat brzeski";455,93;
1602000;"Powiat głubczycki";723,58;
1603000;"Powiat kędzierzyńsko-kozielski";476,19;
1604000;"Powiat kluczborski";883,36;
1605000;"Powiat krapkowicki";565,45;
1606000;"Powiat namysłowski";830,63;
1607000;"Powiat nyski";1853,19;
1608000;"Powiat oleski";4469,47;
1609000;"Powiat opolski";2507,47;
1610000;"Powiat prudnicki";177,98;
1611000;"Powiat strzelecki";1392,02;
1801000;"Powiat bieszczadzki";2987,52;
1802000;"Powiat brzozowski";5913,32;
1803000;"Powiat dębicki";8345,09;
1804000;"Powiat jarosławski";3574,22;
1805000;"Powiat jasielski";9057,75;
1806000;"Powiat kolbuszowski";8633,38;
1807000;"Powiat krośnieński";5979,37;
1808000;"Powiat leżajski";6775,11;
1809000;"Powiat lubaczowski";12653,32;
1810000;"Powiat łańcucki";2731,07;
1811000;"Powiat mielecki";6237,21;
1812000;"Powiat niżański";12509,12;
1813000;"Powiat przemyski";8066,85;
1814000;"Powiat przeworski";4437,44;
1815000;"Powiat ropczycko-sędziszowski";7152,80;
1816000;"Powiat rzeszowski";9178,56;
1817000;"Powiat sanocki";8950,37;
1818000;"Powiat stalowowolski";9481,26;
1819000;"Powiat strzyżowski";8869,83;
1820000;"Powiat tarnobrzeski";3224,43;
1821000;"Powiat leski";4597,93;
2001000;"Powiat augustowski";10833,77;
2002000;"Powiat białostocki";29627,42;
2003000;"Powiat bielski";18629,53;
2004000;"Powiat grajewski";8845,31;
2005000;"Powiat hajnowski";12356,03;
2006000;"Powiat kolneński";11501,83;
2007000;"Powiat łomżyński";18033,95;
2008000;"Powiat moniecki";13679,32;
2009000;"Powiat sejneński";5397,16;
2010000;"Powiat siemiatycki";24678,93;
2011000;"Powiat sokólski";17006,40;
2012000;"Powiat suwalski";7849,58;
2013000;"Powiat wysokomazowiecki";19053,64;
2014000;"Powiat zambrowski";9487,35;
2201000;"Powiat bytowski";12885,88;
2202000;"Powiat chojnicki";11300,99;
2203000;"Powiat człuchowski";2154,46;
2204000;"Powiat gdański";1017,47;
2205000;"Powiat kartuski";10636,50;
2206000;"Powiat kościerski";14507,66;
2207000;"Powiat kwidzyński";1275,59;
2208000;"Powiat lęborski";1419,98;
2209000;"Powiat malborski";129,87;
2210000;"Powiat nowodworski";34,85;
2211000;"Powiat pucki";1693,19;
2212000;"Powiat słupski";2516,72;
2213000;"Powiat starogardzki";8342,41;
2214000;"Powiat tczewski";1299,36;
2215000;"Powiat wejherowski";7419,30;
2216000;"Powiat sztumski";1207,99;
2401000;"Powiat będziński";3033,78;
2402000;"Powiat bielski";2925,13;
2403000;"Powiat cieszyński";7667,24;
2404000;"Powiat częstochowski";11090,45;
2405000;"Powiat gliwicki";920,52;
2406000;"Powiat kłobucki";5512,86;
2407000;"Powiat lubliniecki";2424,43;
2408000;"Powiat mikołowski";276,46;
2409000;"Powiat myszkowski";5521,61;
2410000;"Powiat pszczyński";550,71;
2411000;"Powiat raciborski";607,79;
2412000;"Powiat rybnicki";777,17;
2413000;"Powiat tarnogórski";1034,86;
