"Kod";"Nazwa";"ogółem;ogółem;2023;[osoba]";
1804000;"Powiat jarosławski";4299;
1805000;"Powiat jasielski";5107;
1806000;"Powiat kolbuszowski";1494;
1807000;"Powiat krośnieński";2221;
1808000;"Powiat leżajski";3105;
1809000;"Powiat lubaczowski";1867;
1810000;"Powiat łańcucki";2547;
1811000;"Powiat mielecki";3017;
1812000;"Powiat niżański";3043;
1813000;"Powiat przemyski";2963;
1814000;"Powiat przeworski";3397;
1815000;"Powiat ropczycko-sędziszowski";2551;
1816000;"Powiat rzeszowski";4670;
1817000;"Powiat sanocki";2737;
1818000;"Powiat stalowowolski";1943;
1819000;"Powiat strzyżowski";3125;
1820000;"Powiat tarnobrzeski";1251;
1821000;"Powiat leski";1716;
2001000;"Powiat augustowski";2159;
2002000;"Powiat białostocki";3752;
2003000;"Powiat bielski";875;
2004000;"Powiat grajewski";1748;
2005000;"Powiat hajnowski";1216;
2006000;"Powiat kolneński";2056;
2007000;"Powiat łomżyński";939;
2008000;"Powiat moniecki";903;
2009000;"Powiat sejneński";1006;
2010000;"Powiat siemiatycki";912;
2011000;"Powiat sokólski";2445;
2012000;"Powiat suwalski";582;
2013000;"Powiat wysokomazowiecki";1512;
2014000;"Powiat zambrowski";1010;
2201000;"Powiat bytowski";2756;
2202000;"Powiat chojnicki";3149;
2203000;"Powiat człuchowski";1791;
2204000;"Powiat gdański";1709;
2205000;"Powiat kartuski";1482;
2206000;"Powiat kościerski";1948;
2207000;"Powiat kwidzyński";2063;
2208000;"Powiat lęborski";2260;
2209000;"Powiat malborski";1397;
2210000;"Powiat nowodworski";1145;
2211000;"Powiat pucki";1623;
2212000;"Powiat słupski";2323;
2213000;"Powiat starogardzki";2506;
2214000;"Powiat tczewski";2391;
2215000;"Powiat wejherowski";3546;
2216000;"Powiat sztumski";565;
2401000;"Powiat będziński";2420;
2402000;"Powiat bielski";1758;
2403000;"Powiat cieszyński";3179;
2404000;"Powiat częstochowski";2414;
2405000;"Powiat gliwicki";1248;
2406000;"Powiat kłobucki";2205;
2407000;"Powiat lubliniecki";1387;
2408000;"Powiat mikołowski";1002;
2409000;"Powiat myszkowski";1400;
2410000;"Powiat pszczyński";1358;
2411000;"Powiat raciborski";1377;
2412000;"Powiat rybnicki";741;
2413000;"Powiat tarnogórski";2276;
2414000;"Powiat bieruńsko-lędziński";328;
2415000;"Powiat wodzisławski";2320;
2416000;"Powiat zawierciański";1950;
2417000;"Powiat żywiecki";2369;
2601000;"Powiat buski";1082;
2602000;"Powiat jędrzejowski";1862;
2603000;"Powiat kazimierski";1083;
2604000;"Powiat kielecki";4315;
2605000;"Powiat konecki";2536;
2606000;"Powiat opatowski";2673;
2607000;"Powiat ostrowiecki";3225;
2608000;"Powiat pińczowski";905;
2609000;"Powiat sandomierski";2147;
2610000;"Powiat skarżyski";3365;
2611000;"Powiat starachowicki";3314;
2612000;"Powiat staszowski";1712;
2613000;"Powiat włoszczowski";1041;
2801000;"Powiat bartoszycki";2777;
2802000;"Powiat braniewski";1555;
2803000;"Powiat działdowski";2760;
2804000;"Powiat elbląski";2328;
2805000;"Powiat ełcki";3152;
2806000;"Powiat giżycki";1487;
2807000;"Powiat iławski";1411;
2808000;"Powiat kętrzyński";2778;
2809000;"Powiat lidzbarski";1243;
2810000;"Powiat mrągowski";1324;
2811000;"Powiat nidzicki";655;
2812000;"Powiat nowomiejski";1560;
2813000;"Powiat olecki";1636;
2814000;"Powiat olsztyński";2645;
2815000;"Powiat ostródzki";2816;
2816000;"Powiat piski";1813;
2817000;"Powiat szczycieński";1916;
2818000;"Powiat gołdapski";597;
2819000;"Powiat węgorzewski";712;
3001000;"Powiat chodzieski";1410;
3002000;"Powiat czarnkowsko-trzcianecki";1403;
3003000;"Powiat gnieźnieński";2225;
3004000;"Powiat gostyński";1653;
3005000;"Powiat grodziski";1002;
3006000;"Powiat jarociński";1140;
3007000;"Powiat kaliski";904;
3008000;"Powiat kępiński";521;
3009000;"Powiat kolski";1076;
3010000;"Powiat koniński";3423;
3011000;"Powiat kościański";874;
3012000;"Powiat krotoszyński";985;
3013000;"Powiat leszczyński";602;
3014000;"Powiat międzychodzki";578;
3015000;"Powiat nowotomyski";826;
3016000;"Powiat obornicki";654;
3017000;"Powiat ostrowski";1994;
3018000;"Powiat ostrzeszowski";858;
3019000;"Powiat pilski";2459;
3020000;"Powiat pleszewski";761;
3021000;"Powiat poznański";2117;
3022000;"Powiat rawicki";934;
3023000;"Powiat słupecki";1508;
3024000;"Powiat szamotulski";1194;
3025000;"Powiat średzki";1354;
3026000;"Powiat śremski";540;
3027000;"Powiat turecki";1278;
3028000;"Powiat wągrowiecki";1274;
3029000;"Powiat wolsztyński";498;
3030000;"Powiat wrzesiński";1204;
3031000;"Powiat złotowski";1639;
3201000;"Powiat białogardzki";2367;
3202000;"Powiat choszczeński";1966;
3203000;"Powiat drawski";1820;
3204000;"Powiat goleniowski";1156;
3205000;"Powiat gryficki";1362;
3206000;"Powiat gryfiński";1540;
3207000;"Powiat kamieński";1780;
3208000;"Powiat kołobrzeski";539;
3209000;"Powiat koszaliński";2205;
3210000;"Powiat myśliborski";1253;
3211000;"Powiat policki";1014;
3212000;"Powiat pyrzycki";1102;
3213000;"Powiat sławieński";2068;
3214000;"Powiat stargardzki";2685;
3215000;"Powiat szczecinecki";3322;
3216000;"Powiat świdwiński";1647;
3217000;"Powiat wałecki";1335;
3218000;"Powiat łobeski";1581;
