"Kod";"Nazwa";"ogółem stan na 1 stycznia;2023;[ha]";
1816000;"Powiat rzeszowski";770;
1818000;"Powiat stalowowolski";185;
1819000;"Powiat strzyżowski";301;
1820000;"Powiat tarnobrzeski";176;
1821000;"Powiat leski";398;
2001000;"Powiat augustowski";419;
2002000;"Powiat białostocki";1602;
2003000;"Powiat bielski";369;
2004000;"Powiat grajewski";582;
2005000;"Powiat hajnowski";724;
2006000;"Powiat kolneński";416;
2007000;"Powiat łomżyński";635;
2008000;"Powiat moniecki";529;
2009000;"Powiat sejneński";384;
2010000;"Powiat siemiatycki";915;
2011000;"Powiat sokólski";432;
2012000;"Powiat suwalski";900;
2013000;"Powiat wysokomazowiecki";827;
2014000;"Powiat zambrowski";391;
2202000;"Powiat chojnicki";377;
2203000;"Powiat człuchowski";763;
2204000;"Powiat gdański";313;
2205000;"Powiat kartuski";241;
2206000;"Powiat kościerski";129;
2207000;"Powiat kwidzyński";367;
2208000;"Powiat lęborski";381;
2209000;"Powiat malborski";410;
2210000;"Powiat nowodworski";461;
2211000;"Powiat pucki";187;
2212000;"Powiat słupski";997;
2213000;"Powiat starogardzki";498;
2214000;"Powiat tczewski";324;
2215000;"Powiat wejherowski";671;
2216000;"Powiat sztumski";453;
2401000;"Powiat będziński";155;
2402000;"Powiat bielski";180;
2403000;"Powiat cieszyński";311;
2404000;"Powiat częstochowski";511;
2405000;"Powiat gliwicki";166;
2406000;"Powiat kłobucki";769;
2407000;"Powiat lubliniecki";66;
2408000;"Powiat mikołowski";53;
2409000;"Powiat myszkowski";426;
2410000;"Powiat pszczyński";227;
2411000;"Powiat raciborski";234;
2412000;"Powiat rybnicki";28;
2413000;"Powiat tarnogórski";377;
2414000;"Powiat bieruńsko-lędziński";120;
2415000;"Powiat wodzisławski";165;
2416000;"Powiat zawierciański";140;
2417000;"Powiat żywiecki";261;
2601000;"Powiat buski";658;
2602000;"Powiat jędrzejowski";384;
2603000;"Powiat kazimierski";433;
2604000;"Powiat kielecki";1433;
2605000;"Powiat konecki";320;
2606000;"Powiat opatowski";106;
2607000;"Powiat ostrowiecki";305;
2608000;"Powiat pińczowski";318;
2609000;"Powiat sandomierski";19;
2610000;"Powiat skarżyski";179;
2611000;"Powiat starachowicki";301;
2612000;"Powiat staszowski";495;
2613000;"Powiat włoszczowski";468;
2801000;"Powiat bartoszycki";739;
2802000;"Powiat braniewski";615;
2803000;"Powiat działdowski";453;
2804000;"Powiat elbląski";964;
2805000;"Powiat ełcki";620;
2806000;"Powiat giżycki";552;
2807000;"Powiat iławski";787;
2808000;"Powiat kętrzyński";713;
2809000;"Powiat lidzbarski";707;
2810000;"Powiat mrągowski";488;
2811000;"Powiat nidzicki";616;
2812000;"Powiat nowomiejski";299;
2813000;"Powiat olecki";640;
2814000;"Powiat olsztyński";1430;
2815000;"Powiat ostródzki";1048;
2816000;"Powiat piski";666;
2817000;"Powiat szczycieński";794;
2818000;"Powiat gołdapski";451;
2819000;"Powiat węgorzewski";418;
3001000;"Powiat chodzieski";229;
3002000;"Powiat czarnkowsko-trzcianecki";475;
3003000;"Powiat gnieźnieński";451;
3004000;"Powiat gostyński";419;
3005000;"Powiat grodziski";190;
3006000;"Powiat jarociński";339;
3007000;"Powiat kaliski";557;
3008000;"Powiat kępiński";208;
3009000;"Powiat kolski";628;
3010000;"Powiat koniński";486;
3011000;"Powiat kościański";609;
3012000;"Powiat krotoszyński";579;
3013000;"Powiat leszczyński";494;
3014000;"Powiat międzychodzki";336;
3015000;"Powiat nowotomyski";667;
3016000;"Powiat obornicki";388;
3017000;"Powiat ostrowski";537;
3018000;"Powiat ostrzeszowski";376;
3019000;"Powiat pilski";577;
3020000;"Powiat pleszewski";496;
3021000;"Powiat poznański";772;
3022000;"Powiat rawicki";138;
3023000;"Powiat słupecki";518;
3024000;"Powiat szamotulski";385;
3025000;"Powiat średzki";397;
3026000;"Powiat śremski";250;
3027000;"Powiat turecki";584;
3028000;"Powiat wągrowiecki";543;
3029000;"Powiat wolsztyński";370;
3030000;"Powiat wrzesiński";330;
3031000;"Powiat złotowski";662;
3201000;"Powiat białogardzki";503;
3202000;"Powiat choszczeński";728;
3203000;"Powiat drawski";624;
3204000;"Powiat goleniowski";741;
3205000;"Powiat gryficki";367;
3206000;"Powiat gryfiński";661;
3207000;"Powiat kamieński";390;
3208000;"Powiat kołobrzeski";500;
3209000;"Powiat koszaliński";747;
3210000;"Powiat myśliborski";671;
3211000;"Powiat policki";226;
3212000;"Powiat pyrzycki";400;
3213000;"Powiat sławieński";391;
3214000;"Powiat stargardzki";583;
3215000;"Powiat szczecinecki";945;
3216000;"Powiat świdwiński";633;
3217000;"Powiat wałecki";133;
3218000;"Powiat łobeski";530;
