"Kod";"Nazwa";"ogółem;2023;[zł]";
1429000;"Powiat sokołowski";108746087,04;
1430000;"Powiat szydłowiecki";94665446,91;
1432000;"Powiat warszawski zachodni";239385314,48;
1433000;"Powiat węgrowski";138654640,65;
1434000;"Powiat wołomiński";326731964,39;
1435000;"Powiat wyszkowski";176689712,49;
1436000;"Powiat zwoleński";74512262,82;
1437000;"Powiat żuromiński";84826209,74;
1438000;"Powiat żyrardowski";146711446,60;
1601000;"Powiat brzeski";149050819,99;
1602000;"Powiat głubczycki";111749434,57;
1603000;"Powiat kędzierzyńsko-kozielski";142902870,26;
1604000;"Powiat kluczborski";110327595,29;
1605000;"Powiat krapkowicki";73799186,42;
1606000;"Powiat namysłowski";89117946,51;
1607000;"Powiat nyski";228184007,80;
1608000;"Powiat oleski";96405250,90;
1609000;"Powiat opolski";128410574,83;
1610000;"Powiat prudnicki";92761868,30;
1611000;"Powiat strzelecki";123266756,38;
1801000;"Powiat bieszczadzki";96922449,49;
1802000;"Powiat brzozowski";111385186,43;
1803000;"Powiat dębicki";197186364,58;
1804000;"Powiat jarosławski";290092124,54;
1805000;"Powiat jasielski";188476720,43;
1806000;"Powiat kolbuszowski";82700612,03;
1807000;"Powiat krośnieński";128833245,72;
1808000;"Powiat leżajski";173040902,38;
1809000;"Powiat lubaczowski";117952757,49;
1810000;"Powiat łańcucki";140995376,84;
1811000;"Powiat mielecki";252191133,30;
1812000;"Powiat niżański";155331369,72;
1813000;"Powiat przemyski";104869642,31;
1814000;"Powiat przeworski";149445671,03;
1815000;"Powiat ropczycko-sędziszowski";128136506,04;
1816000;"Powiat rzeszowski";254735473,12;
1817000;"Powiat sanocki";159504527,25;
1818000;"Powiat stalowowolski";175470049,25;
1819000;"Powiat strzyżowski";131608000,80;
1820000;"Powiat tarnobrzeski";93023528,55;
1821000;"Powiat leski";58891293,08;
2001000;"Powiat augustowski";130545138,54;
2002000;"Powiat białostocki";217900606,11;
2003000;"Powiat bielski";88391714,29;
2004000;"Powiat grajewski";103213396,47;
2005000;"Powiat hajnowski";85866573,99;
2006000;"Powiat kolneński";80803719,79;
2007000;"Powiat łomżyński";82046536,97;
2008000;"Powiat moniecki";91565523,59;
2009000;"Powiat sejneński";70838262,22;
2010000;"Powiat siemiatycki";124702481,55;
